,fips,freq
0,01001,0.37945
1,01003,0.33685000000000004
2,01005,0.46564999999999995
3,01007,0.42924999999999996
4,01009,0.39965000000000006
5,01011,0.48974999999999996
6,01013,0.45045
7,01015,0.39675
8,01017,0.44179999999999997
9,01019,0.40595
10,01021,0.4305
11,01023,0.45555
12,01025,0.44189999999999996
13,01027,0.42295
14,01029,0.39325000000000004
15,01031,0.3936
16,01033,0.409
17,01035,0.45025
18,01037,0.45004999999999995
19,01039,0.40605
20,01041,0.42719999999999997
21,01043,0.3892
22,01045,0.41605000000000003
23,01047,0.48105000000000003
24,01049,0.39909999999999995
25,01051,0.38105000000000006
26,01053,0.4287
27,01055,0.3883
28,01057,0.43105000000000004
29,01059,0.38754999999999995
30,01061,0.4226
31,01063,0.50925
32,01065,0.49489999999999995
33,01067,0.4412
34,01069,0.40355
35,01071,0.38805
36,01073,0.38625
37,01075,0.3931
38,01077,0.36900000000000005
39,01079,0.43310000000000004
40,01081,0.37900000000000006
41,01083,0.3998999999999999
42,01085,0.48424999999999996
43,01087,0.4686
44,01089,0.35995
45,01091,0.46225
46,01093,0.39019999999999994
47,01095,0.3799
48,01097,0.4006
49,01099,0.44349999999999995
50,01101,0.4084999999999999
51,01103,0.39355000000000007
52,01105,0.5001
53,01107,0.45035
54,01109,0.42760000000000004
55,01111,0.42105000000000004
56,01113,0.44799999999999995
57,01115,0.40259999999999996
58,01117,0.34775000000000006
59,01119,0.47914999999999996
60,01121,0.44335
61,01123,0.4139
62,01125,0.40105
63,01127,0.40740000000000004
64,01129,0.43384999999999996
65,01131,0.49870000000000003
66,01133,0.40225
67,02013,0.3373999999999999
68,02016,0.33464999999999995
69,02020,0.34255
70,02050,0.4365
71,02060,0.39445
72,02070,0.42435
73,02090,0.34355
74,02100,0.3693000000000001
75,02105,0.40269999999999995
76,02110,0.34665
77,02122,0.37375
78,02130,0.38065
79,02150,0.34370000000000006
80,02164,0.46120000000000005
81,02170,0.36245000000000005
82,02180,0.39799999999999996
83,02185,0.40590000000000004
84,02188,0.4423
85,02195,0.38065
86,02198,0.38065
87,02220,0.33845
88,02230,0.40269999999999995
89,02240,0.3691
90,02261,0.3673
91,02270,0.46905
92,02275,0.38065
93,02282,0.38349999999999995
94,02290,0.40425
95,04001,0.42894999999999994
96,04003,0.33585
97,04005,0.2978
98,04007,0.36845
99,04009,0.40585
